Comunidades y ciudades autónomas de residencia;Sexo;Edad;Total
Cantabria;Hombres;De 40 a 44 años;1
Cantabria;Hombres;De 45 a 49 años;3
Cantabria;Hombres;De 50 a 54 años;3
Cantabria;Hombres;De 55 a 59 años;6
Cantabria;Hombres;De 60 a 64 años;1
Cantabria;Hombres;De 65 a 69 años;1
Cantabria;Hombres;De 70 a 74 años;1
Cantabria;Hombres;De 75 a 79 años;2
Cantabria;Hombres;De 80 a 84 años;0
Cantabria;Hombres;De 85 a 89 años;0
Cantabria;Hombres;De 90 a 94 años;0
Cantabria;Hombres;De 95 años y más;0
Cantabria;Mujeres;Todas las edades;5
Cantabria;Mujeres;Menores de 15 años;0
Cantabria;Mujeres;De 15 a 29 años;0
Cantabria;Mujeres;De 30 a 39 años;0
Cantabria;Mujeres;De 40 a 44 años;0
Cantabria;Mujeres;De 45 a 49 años;1
Cantabria;Mujeres;De 50 a 54 años;0
Cantabria;Mujeres;De 55 a 59 años;2
Cantabria;Mujeres;De 60 a 64 años;0
Cantabria;Mujeres;De 65 a 69 años;0
Cantabria;Mujeres;De 70 a 74 años;1
Cantabria;Mujeres;De 75 a 79 años;1
Cantabria;Mujeres;De 80 a 84 años;0
Cantabria;Mujeres;De 85 a 89 años;0
Cantabria;Mujeres;De 90 a 94 años;0
Cantabria;Mujeres;De 95 años y más;0
Castilla y León;Ambos sexos;Todas las edades;213
Castilla y León;Ambos sexos;Menores de 15 años;0
Castilla y León;Ambos sexos;De 15 a 29 años;18
Castilla y León;Ambos sexos;De 30 a 39 años;12
Castilla y León;Ambos sexos;De 40 a 44 años;16
Castilla y León;Ambos sexos;De 45 a 49 años;21
Castilla y León;Ambos sexos;De 50 a 54 años;19
Castilla y León;Ambos sexos;De 55 a 59 años;25
Castilla y León;Ambos sexos;De 60 a 64 años;17
Castilla y León;Ambos sexos;De 65 a 69 años;17
Castilla y León;Ambos sexos;De 70 a 74 años;17
Castilla y León;Ambos sexos;De 75 a 79 años;12
Castilla y León;Ambos sexos;De 80 a 84 años;16
Castilla y León;Ambos sexos;De 85 a 89 años;14
Castilla y León;Ambos sexos;De 90 a 94 años;7
Castilla y León;Ambos sexos;De 95 años y más;2
Castilla y León;Hombres;Todas las edades;158
Castilla y León;Hombres;Menores de 15 años;0
Castilla y León;Hombres;De 15 a 29 años;14
Castilla y León;Hombres;De 30 a 39 años;7
Castilla y León;Hombres;De 40 a 44 años;11
Castilla y León;Hombres;De 45 a 49 años;13
Castilla y León;Hombres;De 50 a 54 años;16
Castilla y León;Hombres;De 55 a 59 años;15
Castilla y León;Hombres;De 60 a 64 años;16
Castilla y León;Hombres;De 65 a 69 años;13
Castilla y León;Hombres;De 70 a 74 años;12
Castilla y León;Hombres;De 75 a 79 años;11
Castilla y León;Hombres;De 80 a 84 años;13
Castilla y León;Hombres;De 85 a 89 años;11
Castilla y León;Hombres;De 90 a 94 años;5
Castilla y León;Hombres;De 95 años y más;1
Castilla y León;Mujeres;Todas las edades;55
Castilla y León;Mujeres;Menores de 15 años;0
Castilla y León;Mujeres;De 15 a 29 años;4
Castilla y León;Mujeres;De 30 a 39 años;5
Castilla y León;Mujeres;De 40 a 44 años;5
Castilla y León;Mujeres;De 45 a 49 años;8
Castilla y León;Mujeres;De 50 a 54 años;3
Castilla y León;Mujeres;De 55 a 59 años;10
Castilla y León;Mujeres;De 60 a 64 años;1
Castilla y León;Mujeres;De 65 a 69 años;4
Castilla y León;Mujeres;De 70 a 74 años;5
Castilla y León;Mujeres;De 75 a 79 años;1
Castilla y León;Mujeres;De 80 a 84 años;3
Castilla y León;Mujeres;De 85 a 89 años;3
Castilla y León;Mujeres;De 90 a 94 años;2
Castilla y León;Mujeres;De 95 años y más;1
Castilla-La Mancha;Ambos sexos;Todas las edades;132
Castilla-La Mancha;Ambos sexos;Menores de 15 años;0
Castilla-La Mancha;Ambos sexos;De 15 a 29 años;8
Castilla-La Mancha;Ambos sexos;De 30 a 39 años;13
