Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Balears, Illes;Mujeres;De 60 a 64 años;1
Total Nacional;Balears, Illes;Mujeres;De 65 a 69 años;2
Total Nacional;Balears, Illes;Mujeres;De 70 a 74 años;1
Total Nacional;Balears, Illes;Mujeres;De 75 a 79 años;2
Total Nacional;Balears, Illes;Mujeres;De 80 a 84 años;0
Total Nacional;Balears, Illes;Mujeres;De 85 a 89 años;0
Total Nacional;Balears, Illes;Mujeres;De 90 a 94 años;0
Total Nacional;Balears, Illes;Mujeres;De 95 años y más;0
Total Nacional;Canarias;Ambos sexos;Todas las edades;230
Total Nacional;Canarias;Ambos sexos;Menores de 15 años;2
Total Nacional;Canarias;Ambos sexos;De 15 a 29 años;20
Total Nacional;Canarias;Ambos sexos;De 30 a 39 años;23
Total Nacional;Canarias;Ambos sexos;De 40 a 44 años;24
Total Nacional;Canarias;Ambos sexos;De 45 a 49 años;27
Total Nacional;Canarias;Ambos sexos;De 50 a 54 años;28
Total Nacional;Canarias;Ambos sexos;De 55 a 59 años;21
Total Nacional;Canarias;Ambos sexos;De 60 a 64 años;30
Total Nacional;Canarias;Ambos sexos;De 65 a 69 años;17
Total Nacional;Canarias;Ambos sexos;De 70 a 74 años;11
Total Nacional;Canarias;Ambos sexos;De 75 a 79 años;15
Total Nacional;Canarias;Ambos sexos;De 80 a 84 años;5
Total Nacional;Canarias;Ambos sexos;De 85 a 89 años;6
Total Nacional;Canarias;Ambos sexos;De 90 a 94 años;0
Total Nacional;Canarias;Ambos sexos;De 95 años y más;1
Total Nacional;Canarias;Hombres;Todas las edades;169
Total Nacional;Canarias;Hombres;Menores de 15 años;1
Total Nacional;Canarias;Hombres;De 15 a 29 años;15
Total Nacional;Canarias;Hombres;De 30 a 39 años;18
Total Nacional;Canarias;Hombres;De 40 a 44 años;22
Total Nacional;Canarias;Hombres;De 45 a 49 años;17
Total Nacional;Canarias;Hombres;De 50 a 54 años;19
Total Nacional;Canarias;Hombres;De 55 a 59 años;17
Total Nacional;Canarias;Hombres;De 60 a 64 años;22
Total Nacional;Canarias;Hombres;De 65 a 69 años;13
Total Nacional;Canarias;Hombres;De 70 a 74 años;7
Total Nacional;Canarias;Hombres;De 75 a 79 años;10
Total Nacional;Canarias;Hombres;De 80 a 84 años;3
Total Nacional;Canarias;Hombres;De 85 a 89 años;4
Total Nacional;Canarias;Hombres;De 90 a 94 años;0
Total Nacional;Canarias;Hombres;De 95 años y más;1
Total Nacional;Canarias;Mujeres;Todas las edades;61
Total Nacional;Canarias;Mujeres;Menores de 15 años;1
Total Nacional;Canarias;Mujeres;De 15 a 29 años;5
Total Nacional;Canarias;Mujeres;De 30 a 39 años;5
Total Nacional;Canarias;Mujeres;De 40 a 44 años;2
Total Nacional;Canarias;Mujeres;De 45 a 49 años;10
Total Nacional;Canarias;Mujeres;De 50 a 54 años;9
Total Nacional;Canarias;Mujeres;De 55 a 59 años;4
Total Nacional;Canarias;Mujeres;De 60 a 64 años;8
Total Nacional;Canarias;Mujeres;De 65 a 69 años;4
Total Nacional;Canarias;Mujeres;De 70 a 74 años;4
Total Nacional;Canarias;Mujeres;De 75 a 79 años;5
Total Nacional;Canarias;Mujeres;De 80 a 84 años;2
Total Nacional;Canarias;Mujeres;De 85 a 89 años;2
Total Nacional;Canarias;Mujeres;De 90 a 94 años;0
Total Nacional;Canarias;Mujeres;De 95 años y más;0
Total Nacional;Cantabria;Ambos sexos;Todas las edades;48
Total Nacional;Cantabria;Ambos sexos;Menores de 15 años;0
Total Nacional;Cantabria;Ambos sexos;De 15 a 29 años;3
Total Nacional;Cantabria;Ambos sexos;De 30 a 39 años;3
Total Nacional;Cantabria;Ambos sexos;De 40 a 44 años;7
Total Nacional;Cantabria;Ambos sexos;De 45 a 49 años;4
Total Nacional;Cantabria;Ambos sexos;De 50 a 54 años;3
Total Nacional;Cantabria;Ambos sexos;De 55 a 59 años;5
Total Nacional;Cantabria;Ambos sexos;De 60 a 64 años;3
Total Nacional;Cantabria;Ambos sexos;De 65 a 69 años;5
Total Nacional;Cantabria;Ambos sexos;De 70 a 74 años;4
Total Nacional;Cantabria;Ambos sexos;De 75 a 79 años;4
Total Nacional;Cantabria;Ambos sexos;De 80 a 84 años;2
Total Nacional;Cantabria;Ambos sexos;De 85 a 89 años;4
Total Nacional;Cantabria;Ambos sexos;De 90 a 94 años;1
Total Nacional;Cantabria;Ambos sexos;De 95 años y más;0
Total Nacional;Cantabria;Hombres;Todas las edades;40
Total Nacional;Cantabria;Hombres;Menores de 15 años;0
Total Nacional;Cantabria;Hombres;De 15 a 29 años;2
Total Nacional;Cantabria;Hombres;De 30 a 39 años;2
Total Nacional;Cantabria;Hombres;De 40 a 44 años;6
Total Nacional;Cantabria;Hombres;De 45 a 49 años;4
Total Nacional;Cantabria;Hombres;De 50 a 54 años;3
Total Nacional;Cantabria;Hombres;De 55 a 59 años;4
Total Nacional;Cantabria;Hombres;De 60 a 64 años;2
Total Nacional;Cantabria;Hombres;De 65 a 69 años;4
Total Nacional;Cantabria;Hombres;De 70 a 74 años;4
Total Nacional;Cantabria;Hombres;De 75 a 79 años;3
Total Nacional;Cantabria;Hombres;De 80 a 84 años;2
Total Nacional;Cantabria;Hombres;De 85 a 89 años;3
Total Nacional;Cantabria;Hombres;De 90 a 94 años;1
Total Nacional;Cantabria;Hombres;De 95 años y más;0
Total Nacional;Cantabria;Mujeres;Todas las edades;8
Total Nacional;Cantabria;Mujeres;Menores de 15 años;0
Total Nacional;Cantabria;Mujeres;De 15 a 29 años;1
Total Nacional;Cantabria;Mujeres;De 30 a 39 años;1
Total Nacional;Cantabria;Mujeres;De 40 a 44 años;1
Total Nacional;Cantabria;Mujeres;De 45 a 49 años;0
Total Nacional;Cantabria;Mujeres;De 50 a 54 años;0
Total Nacional;Cantabria;Mujeres;De 55 a 59 años;1
Total Nacional;Cantabria;Mujeres;De 60 a 64 años;1
Total Nacional;Cantabria;Mujeres;De 65 a 69 años;1
Total Nacional;Cantabria;Mujeres;De 70 a 74 años;0
Total Nacional;Cantabria;Mujeres;De 75 a 79 años;1
Total Nacional;Cantabria;Mujeres;De 80 a 84 años;0
Total Nacional;Cantabria;Mujeres;De 85 a 89 años;1
Total Nacional;Cantabria;Mujeres;De 90 a 94 años;0
Total Nacional;Cantabria;Mujeres;De 95 años y más;0
Total Nacional;Castilla y León;Ambos sexos;Todas las edades;236
Total Nacional;Castilla y León;Ambos sexos;Menores de 15 años;1
