Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Ceuta;Hombres;De 75 a 79 años;0
Total Nacional;Ceuta;Hombres;De 80 a 84 años;0
Total Nacional;Ceuta;Hombres;De 85 a 89 años;0
Total Nacional;Ceuta;Hombres;De 90 a 94 años;0
Total Nacional;Ceuta;Hombres;De 95 años y más;0
Total Nacional;Ceuta;Mujeres;Todas las edades;2
Total Nacional;Ceuta;Mujeres;Menores de 15 años;0
Total Nacional;Ceuta;Mujeres;De 15 a 29 años;0
Total Nacional;Ceuta;Mujeres;De 30 a 39 años;0
Total Nacional;Ceuta;Mujeres;De 40 a 44 años;0
Total Nacional;Ceuta;Mujeres;De 45 a 49 años;1
Total Nacional;Ceuta;Mujeres;De 50 a 54 años;0
Total Nacional;Ceuta;Mujeres;De 55 a 59 años;0
Total Nacional;Ceuta;Mujeres;De 60 a 64 años;0
Total Nacional;Ceuta;Mujeres;De 65 a 69 años;0
Total Nacional;Ceuta;Mujeres;De 70 a 74 años;0
Total Nacional;Ceuta;Mujeres;De 75 a 79 años;1
Total Nacional;Ceuta;Mujeres;De 80 a 84 años;0
Total Nacional;Ceuta;Mujeres;De 85 a 89 años;0
Total Nacional;Ceuta;Mujeres;De 90 a 94 años;0
Total Nacional;Ceuta;Mujeres;De 95 años y más;0
Total Nacional;Melilla;Ambos sexos;Todas las edades;4
Total Nacional;Melilla;Ambos sexos;Menores de 15 años;0
Total Nacional;Melilla;Ambos sexos;De 15 a 29 años;1
Total Nacional;Melilla;Ambos sexos;De 30 a 39 años;1
Total Nacional;Melilla;Ambos sexos;De 40 a 44 años;0
Total Nacional;Melilla;Ambos sexos;De 45 a 49 años;0
Total Nacional;Melilla;Ambos sexos;De 50 a 54 años;0
Total Nacional;Melilla;Ambos sexos;De 55 a 59 años;2
Total Nacional;Melilla;Ambos sexos;De 60 a 64 años;0
Total Nacional;Melilla;Ambos sexos;De 65 a 69 años;0
Total Nacional;Melilla;Ambos sexos;De 70 a 74 años;0
Total Nacional;Melilla;Ambos sexos;De 75 a 79 años;0
Total Nacional;Melilla;Ambos sexos;De 80 a 84 años;0
Total Nacional;Melilla;Ambos sexos;De 85 a 89 años;0
Total Nacional;Melilla;Ambos sexos;De 90 a 94 años;0
Total Nacional;Melilla;Ambos sexos;De 95 años y más;0
Total Nacional;Melilla;Hombres;Todas las edades;3
Total Nacional;Melilla;Hombres;Menores de 15 años;0
Total Nacional;Melilla;Hombres;De 15 a 29 años;1
Total Nacional;Melilla;Hombres;De 30 a 39 años;1
Total Nacional;Melilla;Hombres;De 40 a 44 años;0
Total Nacional;Melilla;Hombres;De 45 a 49 años;0
Total Nacional;Melilla;Hombres;De 50 a 54 años;0
Total Nacional;Melilla;Hombres;De 55 a 59 años;1
Total Nacional;Melilla;Hombres;De 60 a 64 años;0
Total Nacional;Melilla;Hombres;De 65 a 69 años;0
Total Nacional;Melilla;Hombres;De 70 a 74 años;0
Total Nacional;Melilla;Hombres;De 75 a 79 años;0
Total Nacional;Melilla;Hombres;De 80 a 84 años;0
Total Nacional;Melilla;Hombres;De 85 a 89 años;0
Total Nacional;Melilla;Hombres;De 90 a 94 años;0
Total Nacional;Melilla;Hombres;De 95 años y más;0
Total Nacional;Melilla;Mujeres;Todas las edades;1
Total Nacional;Melilla;Mujeres;Menores de 15 años;0
Total Nacional;Melilla;Mujeres;De 15 a 29 años;0
Total Nacional;Melilla;Mujeres;De 30 a 39 años;0
Total Nacional;Melilla;Mujeres;De 40 a 44 años;0
Total Nacional;Melilla;Mujeres;De 45 a 49 años;0
Total Nacional;Melilla;Mujeres;De 50 a 54 años;0
Total Nacional;Melilla;Mujeres;De 55 a 59 años;1
Total Nacional;Melilla;Mujeres;De 60 a 64 años;0
Total Nacional;Melilla;Mujeres;De 65 a 69 años;0
Total Nacional;Melilla;Mujeres;De 70 a 74 años;0
Total Nacional;Melilla;Mujeres;De 75 a 79 años;0
Total Nacional;Melilla;Mujeres;De 80 a 84 años;0
Total Nacional;Melilla;Mujeres;De 85 a 89 años;0
Total Nacional;Melilla;Mujeres;De 90 a 94 años;0
Total Nacional;Melilla;Mujeres;De 95 años y más;0

